company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
Binance,Binance Accelerator Program - AI Research Scientist (LLM Reasoning & Post-Training),"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,lever:binance,sqlite,e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,now_intern,100,ai
Binance,Binance Accelerator Program - AI Supportability Engineer,"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/8cd93838-3c12-4386-8dc2-8dfe69873e27,lever:binance,sqlite,8cd93838-3c12-4386-8dc2-8dfe69873e27,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - APP iOS/Android Engineer (Fresh Grad),Taipei,https://web3.career/binance-accelerator-program-app-ios-android-engineer-fresh-grad-binance/150333,web3career,sqlite,150333,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - Applied AI Agent Developer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/0b78f793-4313-4a2a-a4cb-8cbeb2bc7d7b,lever:binance,sqlite,0b78f793-4313-4a2a-a4cb-8cbeb2bc7d7b,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - Applied AI Agent Engineer (Top Talent Program),"Taiwan, Taipei, Hong Kong, Asia, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, New Zealand, Auckland, New Zealand, Wellington",https://jobs.lever.co/binance/303def79-701c-4b29-aceb-e07877a22d1d,lever:binance,sqlite,303def79-701c-4b29-aceb-e07877a22d1d,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - Applied Data Scientist,"Asia, Taiwan, Taipei, Vietnam, Ho Chi Minh, Japan, Tokyo, Thailand, Bangkok, Australia, Sydney",https://jobs.lever.co/binance/ae1a07c1-c971-403c-906b-79d8c16e4f2d,lever:binance,sqlite,ae1a07c1-c971-403c-906b-79d8c16e4f2d,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,100,ai
Binance,Binance Accelerator Program - Blockchain Data Scientist (AI/LLM),"Taiwan, Taipei, UAE, Dubai, Bahrain, Manama, Australia, Sydney, Australia, Melbourne, Asia, Hong Kong, South East Asia, Australia, Brisbane",https://jobs.lever.co/binance/96e8326e-074f-4d1f-89c4-8ed1a6f96014,lever:binance,sqlite,96e8326e-074f-4d1f-89c4-8ed1a6f96014,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,now_intern,100,ai
Binance,Binance Accelerator Program - Data Analyst,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/f610850c-df60-4c64-9951-23ca130f58eb,lever:binance,sqlite,f610850c-df60-4c64-9951-23ca130f58eb,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,now_intern,55,en
Binance,"Binance Accelerator Program - Data Scientist (KYB/KYC Ops), AI","Asia, Hong Kong, Taiwan, Taipei, South East Asia, Vietnam, Ho Chi Minh, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Thailand, Bangkok",https://jobs.lever.co/binance/1245204b-d029-4961-9819-bb6fc37d9b16,lever:binance,sqlite,1245204b-d029-4961-9819-bb6fc37d9b16,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,100,ai
Binance,Binance Accelerator Program - Data Scientist (LLM & Trading),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/da139395-7bd1-4ede-a277-742bacecadcd,lever:binance,sqlite,da139395-7bd1-4ede-a277-742bacecadcd,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,now_intern,100,ai
